Attribute	Manifest Name	Description	Required	Conditional If	Data Type	Valid Values
MERFISH Positions File	Imaging Level 2	The positions file is an auxiliary MERFISH file that describes the location of bead positions in the assay.	False		String	
MERFISH Codebook File	Imaging Level 2	The codebook is an auxiliary MERFISH file that describes how each grouping of bits is converted to a gene name.	False		String	
HTAN Parent Data File ID	Imaging Level 3 Segmentation,Imaging Level 4	HTAN Data File Identifier indicating the file(s) from which these files were derived	True		String	
Imaging Segmentation Data Type	Imaging Level 3 Segmentation	Specifies how the segmentation is stored	True		String	Mask Outline Polygon Probability Map Point
Parameter file	Imaging Level 3 Segmentation,Imaging Level 4	Path in Syanpse to a text file listing algorithm version numbers and relevant parameters needed to reproduce the analysis	False		String	
Imaging Object Class	Imaging Level 3 Segmentation,Imaging Level 4	Defines the structure that the mask delineates	True		String	nucleus cytoplasm plasma membrane whole cell spot Imaging Object Class Other
Number of Objects	Imaging Level 3 Segmentation,Imaging Level 4	The number of objects (eg cells) described	True		String	
HTAN Parent Channel Metadata ID	Imaging Level 4	HTAN ID for a level 3 channels table.	True		String	
Number of Features	Imaging Level 4	The number of features (eg channels) described	True		String	
Imaging Summary Statistic	Imaging Level 4	Function used to summarize object/feature intensity	False		String	Mean Median Not Specified
No - Channels QC	Imaging Level 2	Not all channels passed QC	False		String	
Imaging Object Class Other	Imaging Level 3 Segmentation	Imaging Object Class Other	False		String	
Imaging Object Class Description	Imaging Level 3 Segmentation	Free text description of object class [string]	True	Imaging Object Class is "Imaging Object Class Other"	String	
