Attribute	Manifest Name	Description	Required	Conditional If	Data Type	Valid Values
Specimen Laterality	Biospecimen	For tumors in paired organs, designates the side on which the specimen was obtained.	True	Biospecimen is "Bone"' 'Biospecimen is "Tissue"' 'Biospecimen is "Urine"	String	Bilateral Left Right unknown Not Reported Not Applicable
Portion Weight	Biospecimen	Numeric value that represents the sample portion weight, measured in milligrams.	False	Biospecimen is "Bone"' 'Biospecimen is "Tissue"' 'Biospecimen is "Urine"	String	
Total Volume	Biospecimen	Numeric value for the total amount of sample or specimen	False	Biospecimen is "Bone"' 'Biospecimen is "Tissue"' 'Biospecimen is "Urine"	String	
Tumor Tissue Type	Biospecimen	Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint (add rows to select multiple values along with timepoints)	True	Biospecimen is "Bone"' 'Biospecimen is "Tissue"' 'Biospecimen is "Urine"	String	Additional Primary Local recurrence Metastatic Premalignant Primary Recurrent Normal Normal adjacent Normal distant Post therapy Post therapy neoadjuvant Post therapy adjuvant Not Otherwise Specified Premalignant - in situ Atypia - hyperplasia Not analyzed
Biospecimen Dimension 1	Biospecimen	First dimension of tissue fragment (number, up to one decimal place) measured in units as defined by the "dimensions_unit" CDE	False	Biospecimen is "Bone"' 'Biospecimen is "Tissue"	String	
Biospecimen Dimension 2	Biospecimen	Second dimension of tissue fragment (number, up to one decimal place) measured in units as defined by the "dimensions_unit" CDE	False	Biospecimen is "Bone"' 'Biospecimen is "Tissue"	String	
Biospecimen Dimension 3	Biospecimen	Third dimension of tissue fragment (number, up to one decimal place) measured in units as defined by the "dimensions_unit" CDE	False	Biospecimen is "Bone"' 'Biospecimen is "Tissue"	String	
Section Number in Sequence	Biospecimen	Numeric value (integer, including ranges) provided to a sample in a series of sections (list all adjacent sections in the Adjacent Biospecimen IDs field)	False	Biospecimen is "Bone"' 'Biospecimen is "Tissue"	String	
Other Acquisition Method	Biospecimen	A custom acquisition method	False		String	
Acquisition Method Other Specify	Biospecimen	A custom acquisition method [Text - max length 100 characters]	True	Acquisition is "Other Acquisition Method"	String	
Total Volume Unit	Biospecimen	Unit of measurement used for the total amount of sample or specimen	False		String	mL cubic millimeter square centimeter
Dimensions Unit	Biospecimen	Unit of measurement used for dimension CDEs in metric system (i.e. cm, mm, etc)	False		String	mm cm
Site of Resection or Biopsy	Biospecimen	The text term used to describe the anatomic site of the resection or biopsy of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).	True	Biospecimen is "Bone"' 'Biospecimen is "Tissue"' 'Biospecimen is "Urine"	String	Abdomen NOS Abdominal esophagus Accessory sinus NOS Acoustic nerve Adrenal gland NOS Ampulla of Vater Anal canal Anterior 2/3 of tongue NOS Anterior floor of mouth Anterior mediastinum Anterior surface of epiglottis Anterior wall of bladder Anterior wall of nasopharynx Anus NOS Aortic body and other paraganglia Appendix Ascending colon Autonomic nervous system NOS Axillary tail of breast Base of tongue NOS Bladder neck Bladder NOS Blood Body of pancreas Body of penis Body of stomach Bone marrow Bone of limb NOS Bone NOS Bones of skull and face and associated joints Border of tongue Brain stem Brain NOS Branchial cleft Breast NOS Broad ligament Cardia NOS Carotid body Cauda equina Cecum Central portion of breast Cerebellum NOS Cerebral meninges Cerebrum Cervical esophagus Cervix uteri Choroid Ciliary body Cloacogenic zone Colon NOS Commissure of lip Conjunctiva Connective subcutaneous and other soft tissues of abdomen Connective subcutaneous and other soft tissues of head face and neck Connective subcutaneous and other soft tissues of lower limb and hip Connective subcutaneous and other soft tissues of pelvis Connective subcutaneous and other soft tissues of thorax Connective subcutaneous and other soft tissues of trunk NOS Connective subcutaneous and other soft tissues of upper limb and shoulder Connective subcutaneous and other soft tissues NOS Cornea NOS Corpus uteri Cortex of adrenal gland Cranial nerve NOS Craniopharyngeal duct Descended testis Descending colon Dome of bladder Dorsal surface of tongue NOS Duodenum Endocervix Endocrine gland NOS Endometrium Epididymis Esophagus NOS Ethmoid sinus Exocervix External ear External lip NOS External lower lip External upper lip Extrahepatic bile duct Eye NOS Eyelid Fallopian tube Female genital tract NOS Floor of mouth NOS Frontal lobe Frontal sinus Fundus of stomach Fundus uteri Gallbladder Gastric antrum Gastrointestinal tract NOS Glans penis Glottis Greater curvature of stomach NOS Gum NOS Hard palate Head of pancreas Head face or neck NOS Heart Hematopoietic system NOS Hepatic flexure of colon Hypopharyngeal aspect of aryepiglottic fold Hypopharynx NOS Ileum Ill-defined sites within respiratory system Intestinal tract NOS Intra-abdominal lymph nodes Intrahepatic bile duct Intrathoracic lymph nodes Islets of Langerhans Isthmus uteri Jejunum Kidney NOS Labium majus Labium minus Lacrimal gland Laryngeal cartilage Larynx NOS Lateral floor of mouth Lateral wall of bladder Lateral wall of nasopharynx Lateral wall of oropharynx Lesser curvature of stomach NOS Lingual tonsil Lip NOS Liver Long bones of lower limb and associated joints Long bones of upper limb scapula and associated joints Lower gum Lower limb NOS Lower lobe lung Lower third of esophagus Lower-inner quadrant of breast Lower-outer quadrant of breast Lung NOS Lymph node NOS Lymph nodes of axilla or arm Lymph nodes of head face and neck Lymph nodes of inguinal region or leg Lymph nodes of multiple regions Main bronchus Major salivary gland NOS Male genital organs NOS Mandible Maxillary sinus Meckel diverticulum Mediastinum NOS Medulla of adrenal gland Meninges NOS Middle ear Middle lobe lung Middle third of esophagus Mouth NOS Mucosa of lip NOS Mucosa of lower lip Mucosa of upper lip Myometrium Nasal cavity Nasopharynx NOS Nervous system NOS Nipple Occipital lobe Olfactory nerve Optic nerve Orbit NOS Oropharynx NOS Other ill-defined sites Other specified parts of female genital organs Other specified parts of male genital organs Other specified parts of pancreas Ovary Overlapping lesion of accessory sinuses Overlapping lesion of bladder Overlapping lesion of bones joints and articular cartilage Overlapping lesion of bones joints and articular cartilage of limbs Overlapping lesion of brain Overlapping lesion of brain and central nervous system Overlapping lesion of breast Overlapping lesion of cervix uteri Overlapping lesion of colon Overlapping lesion of connective subcutaneous and other soft tissues Overlapping lesion of corpus uteri Overlapping lesion of digestive system Overlapping lesion of endocrine glands and related structures Overlapping lesion of esophagus Overlapping lesion of eye and adnexa Overlapping lesion of female genital organs Overlapping lesion of floor of mouth Overlapping lesion of heart mediastinum and pleura Overlapping lesion of hypopharynx Overlapping lesion of ill-defined sites Overlapping lesion of larynx Overlapping lesion of lip Overlapping lesion of lip oral cavity and pharynx Overlapping lesion of lung Overlapping lesion of major salivary glands Overlapping lesion of male genital organs Overlapping lesion of nasopharynx Overlapping lesion of other and unspecified parts of mouth Overlapping lesion of palate Overlapping lesion of pancreas Overlapping lesion of penis Overlapping lesion of peripheral nerves and autonomic nervous system Overlapping lesion of rectum anus and anal canal Overlapping lesion of respiratory system and intrathoracic organs Overlapping lesion of retroperitoneum and peritoneum Overlapping lesion of skin Overlapping lesion of small intestine Overlapping lesion of stomach Overlapping lesion of tongue Overlapping lesion of tonsil Overlapping lesion of urinary organs Overlapping lesion of vulva Overlapping lesions of oropharynx Palate NOS Pancreas NOS Pancreatic duct Parametrium Paraspinal Parathyroid gland Paraurethral gland Parietal lobe Parotid gland Pelvic bones sacrum coccyx and associated joints Pelvic lymph nodes Pelvis NOS Penis NOS Peripheral nerves and autonomic nervous system of abdomen Peripheral nerves and autonomic nervous system of head face and neck Peripheral nerves and autonomic nervous system of lower limb and hip Peripheral nerves and autonomic nervous system of pelvis Peripheral nerves and autonomic nervous system of thorax Peripheral nerves and autonomic nervous system of trunk NOS Peripheral nerves and autonomic nervous system of upper limb and shoulder Peritoneum NOS Pharynx NOS Pineal gland Pituitary gland Placenta Pleura NOS Postcricoid region Posterior mediastinum Posterior wall of bladder Posterior wall of hypopharynx Posterior wall of nasopharynx Posterior wall of oropharynx Prepuce Prostate gland Pylorus Pyriform sinus Rectosigmoid junction Rectum NOS Renal pelvis Reticuloendothelial system NOS Retina Retromolar area Retroperitoneum Rib sternum clavicle and associated joints Round ligament Scrotum NOS Short bones of lower limb and associated joints Short bones of upper limb and associated joints Sigmoid colon Skin of lip NOS skin of lower limb and hip Skin of other and unspecified parts of face Skin of scalp and neck Skin of trunk skin of upper limb and shoulder skin NOS Small intestine NOS Soft palate NOS Specified parts of peritoneum Spermatic cord Sphenoid sinus Spinal cord Spinal meninges Spleen Splenic flexure of colon Stomach NOS Subglottis Sublingual gland Submandibular gland Superior wall of nasopharynx Supraglottis Tail of pancreas Temporal lobe Testis NOS Thoracic esophagus Thorax NOS Thymus Thyroid gland Tongue NOS Tonsil NOS Tonsillar fossa Tonsillar pillar Trachea Transverse colon Trigone of bladder Undescended testis unknown primary site Upper gum Upper limb NOS Upper lobe lung Upper respiratory tract NOS Upper third of esophagus Upper-inner quadrant of breast Upper-outer quadrant of breast Urachus Ureter Ureteric orifice Urethra Urinary system NOS Uterine adnexa Uterus NOS Uvula Vagina NOS Vallecula Ventral surface of tongue NOS Ventricle NOS Vertebral column Vestibule of mouth Vulva NOS Waldeyer ring Biliary tract NOS Cheek mucosa Clitoris Overlapping lesion of biliary tract unknown Not Reported
